,coef1,coef2,coef3,coef4,coef5,coef6,coef7,coef8,coef9,coef10,coef11,coef12,coef13,coef14,coef15,coef16,coef17,coef18,coef19,coef20,coef21,coef22,coef23,coef24,coef25,coef26,coef27,coef28,coef29,coef30,coef31,coef32,coef33,coef34,coef35,coef36,coef37,coef38,name
condition1,0.030473562,0.030645625,-0.056080599,0.006553214,0.00356391,-0.030168106,-0.024749558,0.004418451,0.017988992,0.252934766,-0.011673572,-0.009977855,0.028684024,-0.012041753,0.008616542,7.37E-06,0.010772309,0.003149575,0.047185672,0.040684306,-0.119189962,-0.01187927,0.002448857,-0.006143976,0.007414817,0.02180901,-0.015581895,0.026809153,-0.079073291,-0.05728821,0.012617568,-0.007067163,-0.022215971,-0.01529719,0.017413074,0.001809215,1.336025171,253.9070011,condition1_3_2_7_0
condition1,0.074706819,-0.000680785,0.061844494,0.017843309,-0.041199579,-0.00848052,-0.047791458,-0.017990216,-0.02554985,0.203735812,0.129383719,-0.009608214,0.053492284,-0.053014495,0.071961695,-0.003191929,0.005004802,-0.003314779,0.224261414,0.025442806,-0.063583733,-0.07865203,0.051808628,-0.019738174,0.015257301,-0.043871424,0.001892256,0.104863462,-0.188817728,0.04660314,0.050244257,0.024315924,-0.017079,0.010751504,0.007477369,-0.001991436,1.798892809,191.9027625,condition1_3_2_9_2
condition1,0.003102216,0.115568511,0.010105623,0.010840477,0.013144146,0.009309262,0.010396493,-0.017947296,-0.030888659,0.047186113,0.080102137,0.069395402,0.003838312,-0.087845964,0.017315161,0.006211543,-0.025341493,0.049822477,0.258447163,-0.061891305,-0.13025075,0.053447038,0.121490758,-0.045828622,-0.018858413,0.033023262,0.009244908,0.074335148,0.021785743,-0.053244921,-0.012779997,0.037912199,0.08529066,-0.017981598,-0.010594647,0.01969924,1.405010963,210.1699014,condition1_3_2_9_0
condition1,-0.094469046,0.083157339,0.070315692,0.038547932,0.065974769,0.033688021,-0.029401464,-0.019967698,-0.015909097,0.103390386,0.000631603,0.10633458,-0.02665049,-0.04130331,-0.004010304,0.005324012,-0.000196363,-0.000701531,0.148473741,0.132145836,-0.093466336,-0.014700354,0.015510722,-0.009001053,-0.019572089,0.035069324,-0.001814378,0.068941581,-0.05643334,-0.075307618,-0.007211931,0.02737962,0.039206763,-0.042707104,-0.017152193,0.03599258,1.445657476,227.9312009,condition1_3_2_9_1
condition1,0.042558359,0.220693197,0.008915415,0.022623334,0.033789003,4.15E-05,-0.008989174,-0.031130376,0.047302443,-0.143755445,-0.073783857,-0.015410225,0.094440162,0.010478821,-0.027748834,0.024570759,-0.004521388,-0.021147677,0.504190295,0.161415893,-0.223254929,-0.124528486,0.117861839,0.060526721,-0.014405827,-0.015666505,-0.029698764,0.118099858,0.118712729,0.074343941,-0.048974568,-0.029472543,0.035449268,0.021990608,0.002652353,0.009222553,1.366639308,201.9364105,condition1_3_3_10_2
condition1,-0.031211629,0.058211814,0.032229109,0.035723917,0.029905318,5.92E-06,-0.010499526,0.006028211,-0.018049883,0.085925467,0.021167238,0.072952066,0.025911135,-0.038632586,-0.01347922,0.007023771,0.005201247,0.012409152,0.02443062,0.019827029,-0.082752584,0.025414865,0.033971545,-0.007133059,-0.021705267,-0.009654566,-0.009358428,-0.031338845,-0.03454368,0.029197262,0.02576808,0.000215943,-0.003651554,-0.01070826,0.004511784,0.016398819,1.311821486,252.3762389,condition1_3_3_10_1
condition1,-0.045369412,0.182653391,0.018260427,-0.048002723,-0.01497564,-0.002471635,-0.000283512,-0.016149538,0.024145834,-0.22104331,-0.060864977,0.030284903,0.034446673,0.01746612,-0.059554373,-0.01869145,-0.028776555,0.06259713,0.550655049,0.146629053,-0.197505623,-0.008430226,0.094738334,0.020292853,0.000392713,0.040421266,-0.031526728,0.236942944,0.167345036,-0.156344978,-0.108632682,0.072340904,0.040289529,-0.058811853,0.018747667,0.016120785,1.222451255,214.6680899,condition1_3_3_10_0
condition1,-0.037506237,-0.001488082,0.026209898,0.094607263,0.090187594,0.019472001,0.016353991,-0.019751545,-0.008812942,-0.047575338,-0.230477842,-0.121541436,-0.007045967,-0.045026593,0.058541364,-0.001581044,0.028238826,-0.020950586,0.297373518,0.134689897,0.010746596,0.10856805,0.093071206,0.038696387,-0.001913994,0.017185392,-0.001362534,-0.249408749,-0.162964081,-0.026233866,0.075640722,0.014033241,0.013257003,0.042277707,0.037344539,0.042792915,1.415649408,210.7662993,condition1_3_3_6_1
condition1,-0.058635553,0.17699515,-0.008296642,0.020984736,0.042502558,-0.020357784,-0.043025361,0.007876607,0.004284751,-0.029638686,0.015950554,-0.039770875,0.014264264,0.020607123,0.045459418,0.001027253,0.003175871,0.001691944,0.461965889,0.077251721,-0.065054404,0.000142718,0.004401355,-0.046520674,-0.010015108,-0.00882611,-0.027026106,0.054047726,-0.111474142,-0.030634357,0.113154594,0.110970502,-0.048745802,-0.052149775,0.018078138,-0.027291053,1.466314264,220.8951278,condition1_3_3_6_0
condition1,-0.031383648,0.065670088,-0.00786544,-0.019089677,-0.017565637,-0.049479045,0.001163622,-0.000151197,0.018181793,0.189924937,0.015929882,0.002455873,0.03605712,-0.005121184,-0.028665438,0.037464778,-0.003209515,-0.017653913,0.247169457,0.051395904,-0.112608866,-0.055053756,0.023344465,0.028207013,-0.018977116,-0.006624752,0.001114232,0.090730725,-0.178936661,-0.039826177,0.074175473,0.006848144,-0.010010394,-0.011005112,0.007614327,0.011866651,1.624848867,196.3069237,condition1_3_3_6_2
