,coef1,coef2,coef3,coef4,coef5,coef6,coef7,coef8,coef9,coef10,coef11,coef12,coef13,coef14,coef15,coef16,coef17,coef18,coef19,coef20,coef21,coef22,coef23,coef24,coef25,coef26,coef27,coef28,coef29,coef30,coef31,coef32,coef33,coef34,coef35,coef36,coef37,coef38,name
condition1,0.038500247,0.066437572,-0.027639457,-0.042991409,0.010403619,0.017561722,0.009472189,-0.003947488,0.008611903,0.028674626,0.056936396,0.078712955,-0.044887512,-0.045218858,0.002685482,-0.024369188,0.005894061,-0.043717029,0.147090873,-0.031670345,-0.142547634,0.040097125,0.064572742,-0.06471121,-0.037597472,0.037333463,0.000208469,0.105899134,-0.007563222,-0.09232029,-0.003203341,0.048481651,0.004888411,-0.026762851,0.03155713,0.036565495,1.515377786,187.2152484,condition1_3_3_7_2
condition1,0.132811754,-0.014393255,-0.049939581,0.059793688,0.004678865,-0.008024143,0.021668411,-0.00542978,-0.018111746,0.166393195,-0.070474237,0.025581073,0.039355532,-0.012190194,-0.028600303,0.01479636,-0.025039746,-0.000849108,0.080004629,0.010888502,-0.055790403,0.029651009,-0.010170499,0.024109424,-0.046596802,0.00636793,-0.002333687,0.031172368,-0.173528945,0.03290596,0.006402166,-0.039336823,-0.009297561,0.036357412,7.56E-05,0.017864308,1.558309171,159.2901827,condition1_3_3_7_1
condition1,0.041743024,0.091613873,-0.009705629,0.036129889,0.026523545,-0.036065819,-0.014758879,-0.013292001,-0.005093952,-0.060475657,0.021203553,0.023962641,-0.053005275,-0.028587731,0.026614125,0.022763379,0.008227633,-0.004524307,0.314592382,-0.125508478,-0.092041511,0.095904054,0.020206914,-0.05383977,0.036050202,-0.014299624,-0.026105011,0.006238365,-0.031246429,-0.015388115,0.108921322,0.061455667,-0.042524295,-0.00987314,0.021443087,-0.025803104,1.449218276,188.1867693,condition1_3_3_7_0
condition1,-0.039950297,0.123818891,0.008496018,0.027798488,0.013271271,-0.023652705,0.019272864,0.010955391,0.006544051,-0.006505267,0.00909853,0.038019965,0.014922292,-0.002466637,-0.01962089,-0.01346948,0.00313771,0.008529642,0.259870229,0.072149674,-0.121379273,-0.082230576,-0.05573889,0.067505921,0.035925373,-0.030500887,-0.007741177,-0.00040994,0.018056612,-0.000243201,0.077948183,-0.050626168,-0.026905487,0.05382208,0.026974754,0.009602849,1.522326314,195.1469807,condition1_3_2_5_1
condition1,0.050213775,0.15176379,-0.004065027,0.017624231,-0.034028042,0.004314492,0.035593981,0.024523772,-0.016731209,-0.020945111,-0.02389488,0.08740598,-0.009377486,-0.058311841,0.056265843,0.002429922,0.002694193,-0.004761049,0.408973902,-0.068428431,-0.149971057,0.047751749,0.075224618,-0.010960173,-0.059330186,-0.014197355,0.042682911,-0.00108581,0.125694676,0.002848663,-0.07430053,-0.039159389,0.063040217,0.031772829,-0.041963254,-0.020855119,1.526023924,192.3234743,condition1_3_2_5_0
condition1,0.014781327,-0.038879464,-0.052942388,-0.010888234,-0.00582856,-0.060956622,-0.016425899,-0.005500312,-0.011588274,0.115348567,-0.030452509,0.04775656,-0.024301292,0.002067115,0.01692117,-0.010135639,0.012538449,-0.000370912,0.193212852,0.011534117,-0.066400396,0.016913772,-0.014062424,0.017309383,0.004373083,-0.015618063,0.018345501,0.052946728,-0.097736855,-0.052893869,0.055465435,0.035566053,-0.037150691,0.016199243,-0.006935646,0.001944328,1.576130595,159.0510098,condition1_3_2_5_2
condition1,0.025124359,0.026601735,-0.016022797,0.01881964,0.033503781,-0.035122306,0.003607391,-0.004168914,-0.018510799,0.061968319,0.05552751,0.009289977,0.009054161,-0.002293674,-0.010784288,0.011149763,0.000435501,-0.006775364,0.184125756,-0.013768547,-0.073290528,-0.020347993,0.005596561,-0.004203039,-0.006406716,-0.02884186,0.022070457,0.009940226,-0.114759257,-0.020605827,0.017987674,-0.001851328,-0.001306567,0.028966256,0.003634814,-0.024639499,1.315322221,225.2321972,condition1_3_2_4_2
condition1,0.115160632,0.059116702,-0.013231595,0.065242154,-0.009377183,-0.003951323,-7.44E-05,-0.030820389,0.00305757,0.094744578,-0.056041435,-0.01047575,0.000698934,-0.002573652,-0.003659976,-0.004318712,0.003900885,0.037329549,0.14559713,0.035609946,-0.104588547,-0.06466852,0.023924047,0.056681937,0.009895268,-0.026415154,-0.02107342,0.096573921,-0.068235093,-0.025067572,0.032500917,-0.006973447,0.02828376,-0.006383559,0.040555933,-0.00991496,1.528550983,195.5848727,condition1_3_2_4_1
condition1,0.114242713,0.071807247,-0.020266022,-0.056649055,0.02420787,-0.0223286,-0.018343229,0.01699238,0.008319293,0.030630966,0.020770855,0.049231993,0.031698149,-0.02218483,-0.017537754,0.012786825,0.020045298,-0.008166808,0.278898936,-0.003423301,-0.123686001,-0.001012757,0.03910887,0.006724083,-0.026663714,0.004932179,0.0177547,0.171100624,-0.064951866,-0.043401876,-0.019796431,0.03642172,-0.023709635,-0.026294687,-0.014993724,0.023256637,1.576641814,159.1265211,condition1_3_2_4_0
condition2,-0.006725987,0.043877016,-0.028756697,0.035213978,-0.01178494,-0.010675887,-0.034474245,0.022272057,0.004021164,0.115217531,-0.045836692,0.018281188,-0.021985136,0.021118547,0.010737531,-0.019856297,0.024066829,0.004274674,0.05755364,0.057205643,-0.106397407,0.003991097,-0.015011176,0.034193648,0.011918147,-0.001809373,-0.010329221,0.076624848,-0.08482491,-0.037554066,0.044067678,0.033135586,-0.015969338,-0.07088913,0.050036471,0.00519343,1.323346786,183.7943893,condition2_3_1_7_2
